ticker,name,business,description,revenueMix,currentElements,currentPrimary,elementSource,businessEvidenceSource,isCorrect,correctedElements,note
"DELTA","เดลต้า อีเลคโทรนิคส์","อุปกรณ์อิเล็กทรอนิกส์ แหล่งจ่ายไฟ พาวเวอร์ซัพพลาย EV ชาร์จเจอร์","ผู้ผลิตและจัดจำหน่ายอุปกรณ์อิเล็กทรอนิกส์กำลังไฟฟ้า (power electronics) แหล่งจ่ายไฟ สินค้า EV charging และระบบ data center power รายใหญ่ระดับโลก โรงงานหลักในไทย ส่งออกทั่วโลก","Power supplies / อิเล็กทรอนิกส์กำลัง (~60%) | EV / อัตโนมัติอุตสาหกรรม (~25%) | อื่น ๆ (~15%)","ทอง,ไฟ","ทอง","career-business.txt","","","",""
"EA","พลังงานบริสุทธิ์","พลังงานทดแทน โซลาร์ฟาร์ม แบตเตอรี่ EV","","","ไฟ,ทอง","ไฟ","career-business.txt","","","",""
"GLOBAL","สยามโกลบอลเฮ้าส์","ค้าปลีกวัสดุก่อสร้าง ของตกแต่งบ้าน เครื่องมือช่าง","","","น้ำ,ดิน","น้ำ","career-business.txt","","","",""
"GPSC","โกลบอล เพาเวอร์ ซินเนอร์ยี่","ผลิตและจำหน่ายไฟฟ้า สาธารณูปโภคพลังงาน","","","ไฟ","ไฟ","career-business.txt","","","",""
"GULF","กัลฟ์ เอ็นเนอร์จี ดีเวลลอปเมนท์","ผลิตไฟฟ้า ก๊าซธรรมชาติ โครงสร้างพื้นฐานพลังงาน เทคโนโลยี","","","ไฟ,ทอง","ไฟ","decision-log.md + career-business.txt","","","",""
"HMPRO","โฮม โปรดักส์ เซ็นเตอร์","ค้าปลีกวัสดุก่อสร้าง ของแต่งบ้าน เครื่องใช้ไฟฟ้า","","","น้ำ,ดิน","น้ำ","career-business.txt","","","",""
"INTUCH","อินทัช โฮลดิ้งส์","ถือหุ้นในธุรกิจโทรคมนาคม ดิจิทัล (บริษัทลูก: AIS, ITD)","","","ไม้","ไม้","career-business.txt","","","",""
"IVL","อินโดรามา เวนเจอร์ส","ปิโตรเคมี เส้นใย เคมีภัณฑ์ PET รีไซเคิล","","","ทอง,ไฟ","ทอง","career-business.txt","","","",""
"KBANK","ธนาคารกสิกรไทย","ธนาคารพาณิชย์ สินเชื่อ การเงิน บัตรเครดิต","ธนาคารพาณิชย์ขนาดใหญ่เป็นอันดับต้นของไทย ให้บริการสินเชื่อ เงินฝาก บัตรเครดิต และธุรกิจการเงินครบวงจรทั้งรายย่อยและองค์กร รวมถึงขยายสู่แพลตฟอร์มการเงินดิจิทัลและธุรกิจต่างประเทศในภูมิภาคอาเซียน","รายได้ดอกเบี้ยสุทธิ (สินเชื่อ) (~70%) | ค่าธรรมเนียมและบริการ (บัตร/กองทุน/ประกัน) (~20%) | อื่น ๆ (~10%)","น้ำ,ดิน","น้ำ","career-business.txt","","","",""
"KTB","ธนาคารกรุงไทย","ธนาคารพาณิชย์ สินเชื่อ การเงิน ภาครัฐ","","","น้ำ","น้ำ","career-business.txt","","","",""
"KTC","กรุงไทยคาร์ด","บัตรเครดิต บัตรกดเงินสด สินเชื่อบุคคล","","","น้ำ","น้ำ","career-business.txt","","","",""
"LH","แลนด์ แอนด์ เฮ้าส์","พัฒนาอสังหาริมทรัพย์ บ้านจัดสรร คอนโดมิเนียม","","","ดิน","ดิน","career-business.txt + Source4 §5","","","",""
"MINT","ไมเนอร์ อินเตอร์เนชั่นแนล","โรงแรม รีสอร์ท ร้านอาหาร เครือข่าย hospitality","","","น้ำ","น้ำ","career-business.txt","","","",""
"MTC","เมืองไทย แคปปิตอล","สินเชื่อรายย่อย จำนำทะเบียน สินเชื่อนาโนไฟแนนซ์","","","น้ำ","น้ำ","career-business.txt","","","",""
"OR","ปตท. น้ำมันและการค้าปลีก","สถานีบริการน้ำมัน ค้าปลีก Cafe Amazon ธุรกิจน้ำมัน","","","ไฟ,น้ำ","ไฟ","decision-log.md + career-business.txt","","","",""
"OSP","โอสถสภา","เครื่องดื่มชูกำลัง น้ำดื่ม สินค้าอุปโภคบริโภค","","","น้ำ","น้ำ","career-business.txt","","","",""
"PTT","ปตท.","ปิโตรเลียม ก๊าซธรรมชาติ โรงกลั่น ปิโตรเคมี ค้าปลีกพลังงาน","บริษัทพลังงานแห่งชาติของไทย ดูแลธุรกิจสำรวจและผลิตปิโตรเลียม โรงกลั่น ปิโตรเคมี การตลาดค้าปลีกพลังงาน และก๊าซธรรมชาติ ครบวงจรตั้งแต่ต้นน้ำถึงปลายน้ำ รวมถึงขยายสู่พลังงานสะอาด","การตลาด/ค้าปลีกพลังงาน (น้ำมัน) (~50%) | ก๊าซธรรมชาติ/ปิโตรเคมี (~35%) | อื่น ๆ (~15%)","ไฟ,ทอง","ไฟ","decision-log.md + career-business.txt","","","",""
"PTTEP","ปตท. สำรวจและผลิตปิโตรเลียม","สำรวจและผลิตปิโตรเลียม ก๊าซธรรมชาติ น้ำมันดิบ","","","ไฟ","ไฟ","decision-log.md","","","",""
"PTTGC","พีทีที โกลบอล เคมิคอล","ปิโตรเคมีขั้นต้นและขั้นปลาย เคมีภัณฑ์","","","ไฟ,ทอง","ไฟ","decision-log.md + career-business.txt","","","",""
"RATCH","ราช กรุ๊ป","ผลิตไฟฟ้า สาธารณูปโภค พลังงานทดแทน","","","ไฟ","ไฟ","career-business.txt","","","",""
"SCB","ธนาคารไทยพาณิชย์","ธนาคารพาณิชย์ สินเชื่อ การเงิน ประกัน","","","น้ำ","น้ำ","career-business.txt","","","",""
"SCC","ปูนซิเมนต์ไทย","ปูนซีเมนต์ วัสดุก่อสร้าง เคมีภัณฑ์ บรรจุภัณฑ์","","","ดิน,ทอง","ดิน","career-business.txt","","","",""
"TIDLOR","เงินติดล้อ","สินเชื่อทะเบียนรถ สินเชื่อนาโนไฟแนนซ์","","","น้ำ","น้ำ","career-business.txt","","","",""
"TISCO","ทิสโก้ไฟแนนซ์เชียลกรุ๊ป","สินเชื่อเช่าซื้อ การเงิน ธนาคารพาณิชย์","","","น้ำ","น้ำ","career-business.txt","","","",""
"TOP","ไทยออยล์","โรงกลั่นน้ำมัน ปิโตรเคมี น้ำมันหล่อลื่น","","","ไฟ","ไฟ","decision-log.md","","","",""
"TRUE","ทรู คอร์ปอเรชั่น","โทรคมนาคม โทรศัพท์เคลื่อนที่ อินเทอร์เน็ต สื่อ","","","ไม้","ไม้","career-business.txt","","","",""
"TTB","ทหารไทยธนชาต","ธนาคารพาณิชย์ สินเชื่อ การเงิน","","","น้ำ","น้ำ","career-business.txt","","","",""
"TU","ไทยยูเนี่ยน กรุ๊ป","อาหารทะเลแปรรูป ปลาทูน่ากระป๋อง อาหารสัตว์เลี้ยง","","","น้ำ","น้ำ","career-business.txt","","","",""
"WHA","ดับบลิวเอชเอ คอร์ปอเรชั่น","นิคมอุตสาหกรรม โลจิสติกส์ สาธารณูปโภค พลังงาน","","","ดิน,น้ำ","ดิน","career-business.txt","","","",""
"BANPU","บ้านปู","ถ่านหิน เหมือง พลังงาน ก๊าซธรรมชาติ","","","ไฟ,ดิน","ไฟ","career-business.txt","","","",""
"CK","ช.การช่าง","รับเหมาก่อสร้าง โครงสร้างพื้นฐาน รถไฟฟ้า","","","ดิน","ดิน","career-business.txt","","","",""
"COM7","คอมเซเว่น","ค้าปลีกสินค้าเทคโนโลยี โทรศัพท์มือถือ ไอที","","","น้ำ,ทอง","น้ำ","career-business.txt","","","",""
"HANA","ฮานา ไมโครอิเล็คโทรนิคส์","ผลิตชิ้นส่วนอิเล็กทรอนิกส์ เซมิคอนดักเตอร์","","","ทอง","ทอง","career-business.txt","","","",""
"KCE","เคซีอี อีเลคโทรนิคส์","ผลิตแผงวงจรพิมพ์ PCB อิเล็กทรอนิกส์","","","ทอง","ทอง","career-business.txt","","","",""
"MAKRO","สยามแม็คโคร","ค้าส่งสินค้าอุปโภคบริโภค แม็คโคร","","","น้ำ","น้ำ","career-business.txt","","","",""
"SAWAD","ศรีสวัสดิ์ คอร์ปอเรชั่น","สินเชื่อรายย่อย เช่าซื้อรถยนต์ ไฟแนนซ์","","","น้ำ","น้ำ","career-business.txt","","","",""
"AMATA","อมตะ คอร์ปอเรชั่น","นิคมอุตสาหกรรม อสังหาริมทรัพย์ สาธารณูปโภค","","","ดิน","ดิน","career-business.txt","","","",""
"BGRIM","บี.กริม เพาเวอร์","ผลิตไฟฟ้า พลังงานทดแทน สาธารณูปโภค","","","ไฟ","ไฟ","career-business.txt","","","",""
"IRPC","ไออาร์พีซี","โรงกลั่นน้ำมัน ปิโตรเคมี พลาสติก","","","ไฟ,ทอง","ไฟ","decision-log.md + career-business.txt","","","",""
"SUPER","ซุปเปอร์ เอนเนอร์ยี่","พลังงานทดแทน โซลาร์ฟาร์ม","","","ไฟ","ไฟ","career-business.txt","","","",""
"AAV","เอเชีย เอวิเอชั่น","สายการบินไทยแอร์เอเชีย บริการการบิน","","","น้ำ","น้ำ","career-business.txt + decision-log.md","","","",""
"BCH","โรงพยาบาลบำรุงราษฎร์? (กรุงเทพเชียงใหม่)","เครือโรงพยาบาล บริการทางการแพทย์","","","ไฟ","ไฟ","career-business.txt + decision-log.md","","","",""
"BEC","บีอีซี เวิลด์","สถานีโทรทัศน์ ช่อง 3 สื่อโฆษณา","","","ไม้,ไฟ","ไม้","career-business.txt + decision-log.md","","","",""
"BLA","กรุงเทพประกันชีวิต","ประกันชีวิต ประกันสุขภาพ","","","น้ำ,ดิน","น้ำ","career-business.txt + decision-log.md","","","",""
"BPP","บ้านปู เพาเวอร์","ผลิตไฟฟ้า พลังงานทดแทน","","","ไฟ","ไฟ","career-business.txt + decision-log.md","","","",""
"CBG","คาราบาวกรุ๊ป","เครื่องดื่มชูกำลัง เครื่องดื่ม","","","น้ำ","น้ำ","career-business.txt + decision-log.md","","","",""
"CENTEL","เซ็นทรัล พลาซา","โรงแรม รีสอร์ท ร้านอาหาร","","","น้ำ","น้ำ","career-business.txt + decision-log.md","","","",""
"CHG","โรงพยาบาลจุฬารัตน์","เครือโรงพยาบาล บริการทางการแพทย์","","","ไฟ","ไฟ","career-business.txt + decision-log.md","","","",""
"CKP","ซีเค พาวเวอร์","ผลิตไฟฟ้า พลังงานน้ำ พลังงานทดแทน","","","ไฟ","ไฟ","career-business.txt + decision-log.md","","","",""
"DOHOME","ดูโฮม","ค้าปลีกวัสดุก่อสร้าง ของแต่งบ้าน","","","น้ำ,ดิน","น้ำ","career-business.txt + decision-log.md","","","",""
"EGCO","ผลิตไฟฟ้า","ผลิตไฟฟ้า พลังงานทดแทน สาธารณูปโภค","","","ไฟ","ไฟ","career-business.txt + decision-log.md","","","",""
"BSRC","บางจาก ศรีราชา","โรงกลั่นน้ำมันและการตลาดผลิตภัณฑ์ปิโตรเลียม","","","ไฟ","ไฟ","career-business.txt + decision-log.md","","","",""
"GUNKUL","กันกุลเอ็นจิเนียริ่ง","พลังงานทดแทน โซลาร์ รับเหมาก่อสร้างไฟฟ้า","","","ไฟ,ดิน","ไฟ","career-business.txt + decision-log.md","","","",""
"ITC","อิชิตัน กรุ๊ป","เครื่องดื่มชาเขียว เครื่องดื่ม","","","น้ำ","น้ำ","career-business.txt + decision-log.md","","","",""
"JMART","เจ มาร์ท","ค้าปลีกมือถือ บริการดิจิทัล เทคโนโลยี","","","ทอง,น้ำ","ทอง","career-business.txt + decision-log.md","","","",""
"JMT","เจเอ็มที เน็ทเวอร์ค เซอร์วิสเซ็ส","บริหารหนี้ ตามทวงหนี้ ซื้อหนี้","","","น้ำ","น้ำ","career-business.txt + decision-log.md","","","",""
"KKP","เกียรตินาคินภัทร","ธนาคารพาณิชย์ สินเชื่อ การเงิน","","","น้ำ","น้ำ","career-business.txt + decision-log.md","","","",""
"LPN","แอล.พี.เอ็น.ดีเวลลอปเมนท์","พัฒนาอสังหาริมทรัพย์ คอนโดมิเนียม","","","ดิน","ดิน","career-business.txt + decision-log.md","","","",""
"M","เอ็มเค เรสโตรองต์ กรุ๊ป","ร้านอาหาร สุกี้ ร้านอาหารญี่ปุ่น","","","น้ำ,ไฟ","น้ำ","career-business.txt + decision-log.md","","","",""
"MEGA","เมก้า ไลฟ์ไซแอ็นซ์","ยา อาหารเสริม เวชภัณฑ์ สุขภาพ","","","ไม้,ไฟ","ไม้","career-business.txt + decision-log.md","","","",""
"PSL","พรีเชียส ชิปปิ้ง","ขนส่งสินค้าทางเรือ โลจิสติกส์","","","น้ำ","น้ำ","career-business.txt + decision-log.md","","","",""
"QH","ควอลิตี้เฮ้าส์","พัฒนาอสังหาริมทรัพย์ บ้าน คอนโด โรงแรม","","","ดิน,น้ำ","ดิน","career-business.txt + decision-log.md","","","",""
"S","สิงห์ เอสเตท","โรงแรม รีสอร์ท อสังหาริมทรัพย์","","","น้ำ,ดิน","น้ำ","career-business.txt + decision-log.md","","","",""
"SIRI","แสนสิริ","พัฒนาอสังหาริมทรัพย์ บ้าน คอนโด ต่างประเทศ","","","ดิน","ดิน","career-business.txt + decision-log.md","","","",""
"STA","ศรีตรังแอโกรอินดัสทรี","ยางพารา ถุงมือยาง น้ำยาง","","","ไม้","ไม้","career-business.txt + decision-log.md","","","",""
"STEC","ซิโน-ไทย เอ็นจีเนียริ่ง","รับเหมาก่อสร้าง โครงสร้างพื้นฐาน","","","ดิน","ดิน","career-business.txt + decision-log.md","","","",""
"STGT","ศรีตรังโกลฟส์","ถุงมือยาง ถุงมือแพทย์","","","ไม้,ไฟ","ไม้","career-business.txt + decision-log.md","","","",""
"TASCO","ทิปโก้แอสฟัลท์","ยางมะตอย วัสดุก่อสร้างถนน","","","ดิน","ดิน","career-business.txt + decision-log.md","","","",""
"TCAP","ทุนธนชาต","ถือหุ้นการเงิน ธนาคาร ลีสซิ่ง ประกัน","","","น้ำ","น้ำ","career-business.txt + decision-log.md","","","",""
"THAI","การบินไทย","สายการบิน บริการการบิน ขนส่ง","","","น้ำ","น้ำ","career-business.txt + decision-log.md","","","",""
"THG","โรงพยาบาลทักษิณ","เครือโรงพยาบาล บริการทางการแพทย์","","","ไฟ","ไฟ","career-business.txt + decision-log.md","","","",""
"TKN","เถ้าแก่น้อย ฟู๊ดแอนด์มาร์เก็ตติ้ง","อาหารว่าง สาหร่ายแปรรูป อาหาร","","","น้ำ","น้ำ","career-business.txt + decision-log.md","","","",""
"TQM","ทีคิวเอ็ม","นายหน้าประกันภัย ประกันวินาศภัย","","","น้ำ","น้ำ","career-business.txt + decision-log.md","","","",""
"TTA","โทรีเซนไทย เอเยนต์ซีส์","ขนส่งทางเรือ โลจิสติกส์ พลังงาน","","","น้ำ,ไฟ","น้ำ","career-business.txt + decision-log.md","","","",""
"TVO","น้ำมันพืชไทย","น้ำมันพืช กากถั่วเหลือง อาหาร","","","ไม้,น้ำ","ไม้","career-business.txt + decision-log.md","","","",""
"VGI","วีจีไอ","สื่อโฆษณา สื่อเคลื่อนที่ บริการด้านสื่อ","","","ไม้,ไฟ","ไม้","career-business.txt + decision-log.md","","","",""
"WHAUP","ดับบลิวเอชเอ ยูทิลิตี้ส์","น้ำประปา ไฟฟ้า สาธารณูปโภคนิคม","","","น้ำ,ไฟ","น้ำ","career-business.txt + decision-log.md","","","",""
"AH","อาปิโก ไฮเทค","ชิ้นส่วนยานยนต์ แม่พิมพ์ อะไหล่","","","ทอง","ทอง","career-business.txt + decision-log.md","","","",""
"SISB","โรงเรียนนานาชาติสิงคโปร์","โรงเรียนนานาชาติ การศึกษา","","","ไฟ,ไม้","ไฟ","career-business.txt + decision-log.md","","","",""
"BEAUTY","บิวตี้ คอมมูนิตี้","ร้านค้าความงาม เครื่องสำอาง","","","ไฟ","ไฟ","career-business.txt + decision-log.md","","","",""
"LEO","ลีโอ โกลบอล โลจิสติกส์","โลจิสติกส์ ขนส่งระหว่างประเทศ","","","น้ำ","น้ำ","career-business.txt + decision-log.md","","","",""
"PRINC","พริ้นซิเพิล แคปิตอล","โรงพยาบาล บริการทางการแพทย์","","","ไฟ","ไฟ","career-business.txt + decision-log.md","","","",""
"TPIPP","ทีพีไอ เพาเวอร์","ผลิตไฟฟ้าจากขยะ พลังงานทดแทน","","","ไฟ","ไฟ","career-business.txt + decision-log.md","","","",""
"TOA","โตอา เพ้นท์ (ประเทศไทย)","สีทาอาคาร เคมีภัณฑ์ เคลือบผิว","","","ทอง","ทอง","career-business.txt + decision-log.md","","","",""
"ACE","แอ๊บโซลูท คลีน เอ็นเนอร์จี้","พลังงานทดแทน โซลาร์ ลม","","","ไฟ","ไฟ","career-business.txt + decision-log.md","","","",""
"AMR","เอเอ็มอาร์ เอเซีย","งานระบบรางรถไฟ โครงสร้างพื้นฐานคมนาคม","","","ดิน,ทอง","ดิน","career-business.txt + decision-log.md","","","",""
"XPG","เอ็กซ์พีจี","การลงทุน ธุรกิจหลักทรัพย์ บริหารกองทุน สินทรัพย์ดิจิทัล และบริหารสินทรัพย์","","","น้ำ","น้ำ","career-business.txt + decision-log.md","","","","แก้จากพลังงานตาม SET Factsheet 2026-08-08"
"PLANB","แพลน บี มีเดีย","สื่อโฆษณากลางแจ้ง บิลบอร์ด","","","ไม้,ไฟ","ไม้","career-business.txt + decision-log.md","","","",""
"SAPPE","แซปเป้","เครื่องดื่มเพื่อสุขภาพ น้ำผลไม้","","","น้ำ","น้ำ","career-business.txt + decision-log.md","","","",""
"EKH","เอกชัยการแพทย์","โรงพยาบาล บริการทางการแพทย์ คลินิก","","","ไฟ","ไฟ","career-business.txt + decision-log.md + Source4 §5","","","",""
"VIH","โรงพยาบาลวิภาวดี","โรงพยาบาล บริการทางการแพทย์","","","ไฟ","ไฟ","career-business.txt + decision-log.md + Source4 §5","","","",""
"MEDEZE","เมดิเซ่ กรุ๊ป","สเต็มเซลล์ เวชศาสตร์ความงาม คลินิก","","","ไฟ,น้ำ","ไฟ","career-business.txt + decision-log.md + Source4 §5","","","",""
"TICON","ไทคอน","โรงงาน/คลังสินค้าให้เช่า นิคมอุตสาหกรรม","","","ดิน","ดิน","career-business.txt + decision-log.md + Source4 §5","","","",""
"AP","เอพี ไทยแลนด์","พัฒนาอสังหาริมทรัพย์ บ้าน คอนโด","","","ดิน","ดิน","career-business.txt + decision-log.md + Source4 §5","","","",""
"SPALI","ศุภาลัย","พัฒนาอสังหาริมทรัพย์ บ้าน คอนโด","","","ดิน","ดิน","career-business.txt + decision-log.md + Source4 §5","","","",""
"ORI","โอริจิ้น พร็อพเพอร์ตี้","พัฒนาอสังหาริมทรัพย์ คอนโดมิเนียม","","","ดิน","ดิน","career-business.txt + decision-log.md + Source4 §5","","","",""
"NOBLE","โนเบิล ดีเวลลอปเมนท์","พัฒนาอสังหาริมทรัพย์ คอนโดมิเนียม","","","ดิน","ดิน","career-business.txt + decision-log.md + Source4 §5","","","",""
"ANAN","อนันดา ดีเวลลอปเม้นท์","พัฒนาอสังหาริมทรัพย์ คอนโดมิเนียม","","","ดิน","ดิน","career-business.txt + decision-log.md + Source4 §5","","","",""
"SC","เอสซี แอสเสท คอร์ปอเรชั่น","พัฒนาอสังหาริมทรัพย์ บ้าน คอนโด","","","ดิน","ดิน","career-business.txt + decision-log.md + Source4 §5","","","",""
"PSH","พฤกษา โฮลดิ้ง","พัฒนาอสังหาริมทรัพย์ บ้านจัดสรร","","","ดิน","ดิน","career-business.txt + decision-log.md + Source4 §5","","","",""
"TTCL","ทีทีซีแอล","รับเหมาก่อสร้าง EPC โรงงาน โครงสร้างพื้นฐาน","","","ดิน","ดิน","career-business.txt + decision-log.md + Source4 §5","","","",""
"SEAFCO","ซีฟโก้","งานเสาเข็ม ฐานราก งานวิศวกรรม","","","ดิน","ดิน","career-business.txt + decision-log.md + Source4 §5","","","",""
"ITD","อิตาเลียนไทย ดีเวล็อปเมนท์","รับเหมาก่อสร้าง โครงสร้างพื้นฐานขนาดใหญ่","","","ดิน","ดิน","career-business.txt + decision-log.md + Source4 §5","","","",""
"TSTH","ทาทา สตีล (ประเทศไทย)","ผลิตเหล็ก เหล็กเส้น เหล็กแผ่น","","","ทอง","ทอง","career-business.txt + decision-log.md + Source4 §5","","","",""
"TPIPL","ทีพีไอ โพลีน","ปูนซีเมนต์ วัสดุก่อสร้าง พลังงาน","","","ดิน,ไฟ","ดิน","career-business.txt + decision-log.md + Source4 §5","","","",""
"DRT","ผลิตภัณฑ์ตราเพชร","กระเบื้องมุงหลังคา วัสดุก่อสร้าง","","","ดิน","ดิน","career-business.txt + decision-log.md + Source4 §5","","","",""
"DCC","ไดนาสตี้เซรามิค","กระเบื้องเซรามิค เครื่องปั้นดินเผา","","","ดิน","ดิน","career-business.txt + decision-log.md + Source4 §5","","","",""
"STANLY","สแตนลีย์ ไฟฟ้า ประเทศไทย","ชิ้นส่วนไฟฟ้ายานยนต์ โคมไฟรถยนต์","","","ทอง,ไฟ","ทอง","career-business.txt + decision-log.md + Source4 §5","","","",""
"SAT","สมบูรณ์ แอ๊ดวานซ์ เทคโนโลยี","ชิ้นส่วนยานยนต์ เหล็กหล่อ","","","ทอง","ทอง","career-business.txt + decision-log.md + Source4 §5","","","",""
"GFPT","จีเอฟพีที","อาหารสัตว์ ไก่เนื้อ เนื้อไก่แปรรูป","","","น้ำ,ดิน","น้ำ","career-business.txt + decision-log.md + Source4 §5","","","",""
"ERW","โรงแรมเอราวัณ","โรงแรม อสังหาริมทรัพย์เพื่อการท่องเที่ยว","","","น้ำ","น้ำ","career-business.txt + decision-log.md + Source4 §5","","","",""
"DUSIT","ดุสิตธานี","โรงแรม รีสอร์ท ธุรกิจ hospitality","","","น้ำ","น้ำ","career-business.txt + decision-log.md + Source4 §5","","","",""
"TTW","ทีทีดับบลิว","ผลิตและจำหน่ายน้ำประปา","","","น้ำ","น้ำ","career-business.txt + decision-log.md + Source4 §5","","","",""
"WORK","เวิร์คพอยท์ เอ็นเทอร์เทนเมนท์","ผลิตรายการโทรทัศน์ สื่อบันเทิง","","","น้ำ,ไม้","น้ำ","career-business.txt + decision-log.md + Source4 §5","","","",""
"MAJOR","เมเจอร์ ซีนีเพล็กซ์ กรุ๊ป","โรงภาพยนตร์ ธุรกิจบันเทิง","","","น้ำ","น้ำ","career-business.txt + decision-log.md + Source4 §5","","","",""
"PTG","พีทีจี เอ็นเนอยี","สถานีบริการน้ำมัน ค้าปลีกพลังงาน","","","ไฟ,น้ำ","ไฟ","career-business.txt + decision-log.md + Source4 §5","","","",""
"SGP","สยามแก๊ส แอนด์ ปิโตรเคมีคัลส์","ก๊าซ LPG ค้าส่งค้าปลีกก๊าซ","","","ไฟ,น้ำ","ไฟ","career-business.txt + decision-log.md + Source4 §5","","","",""
